crime_type,Category,day_Sun,day_Mon,day_Tue,day_Wed,day_Thu,day_Fri,day_Sat,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,community_area_1,community_area_2,community_area_3,community_area_4,community_area_5,community_area_6,community_area_7,community_area_8,community_area_9,community_area_10,community_area_11,community_area_12,community_area_13,community_area_14,community_area_15,community_area_16,community_area_17,community_area_18,community_area_19,community_area_20,community_area_21,community_area_22,community_area_23,community_area_24,community_area_25,community_area_26,community_area_27,community_area_28,community_area_29,community_area_30,community_area_31,community_area_32,community_area_33,community_area_34,community_area_35,community_area_36,community_area_37,community_area_38,community_area_39,community_area_40,community_area_41,community_area_42,community_area_43,community_area_44,community_area_45,community_area_46,community_area_47,community_area_48,community_area_49,community_area_50,community_area_51,community_area_52,community_area_53,community_area_54,community_area_55,community_area_56,community_area_57,community_area_58,community_area_59,community_area_60,community_area_61,community_area_62,community_area_63,community_area_64,community_area_65,community_area_66,community_area_67,community_area_68,community_area_69,community_area_70,community_area_71,community_area_72,community_area_73,community_area_74,community_area_75,community_area_76,community_area_77
BATTERY: SIMPLE,P2,0.158666581,0.139996124,0.133148136,0.132631307,0.136507526,0.148523806,0.15052652,0.044124297,0.043026035,0.036113444,0.031074359,0.02067317,0.012791524,0.011693262,0.018799664,0.028684024,0.032818658,0.033464694,0.041475548,0.051489114,0.048452742,0.049809419,0.068286065,0.064086827,0.056915821,0.054783901,0.055042315,0.056140578,0.048775761,0.050067834,0.041410944,0.019897926,0.014406615,0.02190064,0.009238323,0.003682408,0.033270883,0.013760579,0.046708444,0.001162866,0.005103689,0.003682408,0.001098262,0.003423994,0.012080884,0.011757865,0.013437561,0.006589573,0.002261128,0.019187286,0.004909878,0.008463079,0.018605853,0.029911493,0.027779572,0.060275212,0.017184573,0.019897926,0.032172621,0.031914206,0.020543963,0.010271981,0.032043414,0.008333872,0.005232896,0.012339298,0.001485884,0.003747012,0.009948963,0.003876219,0.009690548,0.003811616,0.012662317,0.028037987,0.020350152,0.005814329,0.017830609,0.00142128,0.004328445,0.024161768,0.005491311,0.005685122,0.004845274,0.012145487,0.007364817,0.002584146,0.006783384,0.002842561,0.008915305,0.003230183,0.004974482,0.01802442,0.003553201,0.008398475,0.002196524,0.005685122,0.02067317,0.024807804,0.023128109,0.023580335,0.008979908,0.025906066,0.002842561,0.008786097,0.002325732,0.008140061,0.006654177,0.011757865
BURGLARY: ATTEMPT FORCIBLE ENTRY,P1P,0.104790419,0.176646707,0.137724551,0.163173653,0.133233533,0.155688623,0.128742515,0.040419162,0.049401198,0.03742515,0.02994012,0.032934132,0.02245509,0.02245509,0.035928144,0.047904192,0.062874251,0.05988024,0.053892216,0.055389222,0.050898204,0.03742515,0.049401198,0.031437126,0.034431138,0.034431138,0.046407186,0.047904192,0.035928144,0.04491018,0.035928144,0.005988024,0.017964072,0.010479042,0.010479042,0.005988024,0.041916168,0.011976048,0.002994012,0,0.010479042,0.008982036,0.002994012,0.00748503,0.004491018,0.025449102,0.013473054,0.025449102,0.005988024,0.032934132,0.02245509,0.016467066,0.034431138,0.017964072,0.038922156,0.046407186,0.005988024,0.010479042,0.02994012,0.010479042,0.010479042,0.008982036,0.001497006,0.005988024,0.001497006,0.011976048,0.001497006,0,0.004491018,0.001497006,0.004491018,0.02245509,0.02245509,0.02994012,0.028443114,0.001497006,0.002994012,0.001497006,0.004491018,0.02245509,0.011976048,0.002994012,0,0.008982036,0.004491018,0.004491018,0.02245509,0.004491018,0.004491018,0,0.010479042,0.020958084,0.001497006,0.004491018,0.005988024,0.010479042,0.031437126,0.02994012,0.02245509,0.020958084,0.020958084,0.026946108,0.013473054,0.010479042,0.004491018,0.016467066,0.002994012,0.013473054
BURGLARY: FORCIBLE ENTRY,P1P,0.10615942,0.151811594,0.151811594,0.152536232,0.151086957,0.160869565,0.125724638,0.037198068,0.026449275,0.029227053,0.027415459,0.023188406,0.027536232,0.031884058,0.050845411,0.061835749,0.058091787,0.050724638,0.047222222,0.052657005,0.044927536,0.04673913,0.047463768,0.048429952,0.048067633,0.048429952,0.043115942,0.036352657,0.038647343,0.040821256,0.032729469,0.012077295,0.012801932,0.007125604,0.007608696,0.006521739,0.018961353,0.012801932,0.009903382,0.001207729,0.006884058,0.004951691,0.006038647,0.003985507,0.008091787,0.015942029,0.016304348,0.014855072,0.004227053,0.02294686,0.007125604,0.010628019,0.023309179,0.023913043,0.035144928,0.035628019,0.010024155,0.007971014,0.020410628,0.019565217,0.010628019,0.009903382,0.008695652,0.001449275,0.00326087,0.002898551,0.00205314,0.001570048,0.010869565,0.00410628,0.012922705,0.010386473,0.023429952,0.043599034,0.027657005,0.008574879,0.023067633,0.00205314,0.008454106,0.034903382,0.002777778,0.00531401,0.003743961,0.018115942,0.004710145,0.00205314,0.01147343,0.004347826,0.015942029,0.004347826,0.007004831,0.021014493,0.011956522,0.013888889,0.005555556,0.014371981,0.039251208,0.036352657,0.022222222,0.024879227,0.014855072,0.040096618,0.007246377,0.015096618,0.001449275,0.007729469,0.001570048,0.005193237
BURGLARY: HOME INVASION,P1P,0.122529644,0.197628458,0.14229249,0.14229249,0.14229249,0.102766798,0.150197628,0.04743083,0.027667984,0.019762846,0.015810277,0.043478261,0.019762846,0.011857708,0.027667984,0.039525692,0.035573123,0.035573123,0.035573123,0.051383399,0.055335968,0.055335968,0.051383399,0.059288538,0.051383399,0.043478261,0.043478261,0.071146245,0.059288538,0.039525692,0.059288538,0.003952569,0.023715415,0.007905138,0.003952569,0.007905138,0.015810277,0,0.003952569,0.003952569,0.003952569,0.003952569,0.003952569,0.007905138,0.011857708,0.019762846,0.011857708,0.011857708,0.003952569,0.015810277,0.007905138,0.011857708,0.015810277,0.011857708,0.027667984,0.023715415,0.023715415,0.015810277,0.019762846,0.039525692,0.019762846,0.015810277,0.003952569,0,0.011857708,0.003952569,0.007905138,0.003952569,0.011857708,0.015810277,0.007905138,0.007905138,0.023715415,0.067193676,0.035573123,0,0.031620553,0,0,0.011857708,0.003952569,0.003952569,0.003952569,0.011857708,0,0,0.007905138,0,0,0.003952569,0.007905138,0.043478261,0.003952569,0.003952569,0.007905138,0.015810277,0.031620553,0.031620553,0.039525692,0.063241107,0.007905138,0.039525692,0.007905138,0.011857708,0,0,0.003952569,0
BURGLARY: UNLAWFUL ENTRY,P1P,0.11828688,0.15703603,0.140040789,0.139134376,0.151824156,0.156582823,0.137094947,0.039882166,0.024473148,0.018581464,0.019941083,0.020847496,0.02537956,0.028552005,0.050079311,0.064581917,0.064128711,0.05279855,0.050079311,0.057783821,0.046680263,0.053251756,0.049626105,0.049626105,0.047360073,0.051665534,0.039655563,0.038975753,0.031497847,0.045547247,0.029005212,0.015862225,0.014955812,0.013822796,0.009290732,0.010197145,0.043734421,0.028778609,0.023566735,0.001586223,0.006798097,0.005891684,0.004532064,0.006118287,0.011330161,0.013822796,0.012463177,0.010650351,0.002945842,0.023793338,0.007931113,0.011103558,0.028778609,0.023113528,0.049172898,0.03308407,0.007251303,0.008157716,0.016315432,0.022433719,0.02039429,0.008610922,0.011330161,0.006798097,0.002492635,0.002492635,0.001359619,0.001359619,0.007704509,0.008837525,0.012916383,0.013596193,0.016088828,0.036256515,0.023340131,0.002492635,0.019487877,0.00067981,0.003852255,0.027872196,0.004078858,0.004532064,0.006571493,0.011330161,0.00566508,0.002492635,0.008837525,0.004758668,0.012916383,0.004532064,0.009743938,0.019487877,0.007477906,0.011330161,0.008157716,0.009970542,0.031951054,0.022207115,0.016088828,0.023340131,0.011783367,0.026285973,0.00566508,0.008610922,0.003172445,0.00634489,0.00067981,0.016542035
CRIM SEXUAL ASSAULT: AGGRAVATED: OTHER,P1V,0.10989011,0.164835165,0.159340659,0.148351648,0.098901099,0.159340659,0.159340659,0.06043956,0.027472527,0.054945055,0.082417582,0.054945055,0.043956044,0.016483516,0.021978022,0.010989011,0.06043956,0.005494505,0.016483516,0.010989011,0.021978022,0.032967033,0.054945055,0.054945055,0.043956044,0.043956044,0.032967033,0.054945055,0.049450549,0.076923077,0.065934066,0.016483516,0.010989011,0.032967033,0.005494505,0,0.005494505,0.016483516,0.016483516,0,0,0,0,0,0.016483516,0.005494505,0.005494505,0,0,0.021978022,0.005494505,0.010989011,0.010989011,0.021978022,0.021978022,0.071428571,0.032967033,0.032967033,0.038461538,0.049450549,0.016483516,0,0.027472527,0.021978022,0,0.005494505,0,0,0.027472527,0.010989011,0,0.005494505,0.005494505,0.021978022,0.027472527,0.010989011,0.016483516,0,0.005494505,0.043956044,0,0,0,0.010989011,0.010989011,0.005494505,0.010989011,0,0,0,0.005494505,0.038461538,0,0.032967033,0,0,0.010989011,0.032967033,0.032967033,0.032967033,0.005494505,0.032967033,0,0.016483516,0,0.005494505,0.005494505,0.010989011
CRIM SEXUAL ASSAULT: NON-AGGRAVATED,P1V,0.18313253,0.127710843,0.110843373,0.104819277,0.134939759,0.136144578,0.202409639,0.077108434,0.077108434,0.08313253,0.068674699,0.048192771,0.038554217,0.03253012,0.021686747,0.018072289,0.024096386,0.024096386,0.020481928,0.021686747,0.025301205,0.020481928,0.030120482,0.024096386,0.020481928,0.038554217,0.036144578,0.055421687,0.053012048,0.073493976,0.06746988,0.025301205,0.015662651,0.020481928,0.014457831,0.003614458,0.038554217,0.024096386,0.078313253,0,0.003614458,0,0,0.003614458,0.006024096,0.014457831,0.010843373,0.007228916,0,0.006024096,0.006024096,0.006024096,0.022891566,0.022891566,0.025301205,0.054216867,0.020481928,0.013253012,0.053012048,0.03253012,0.019277108,0.010843373,0.025301205,0.009638554,0.001204819,0.012048193,0.003614458,0.003614458,0.012048193,0.008433735,0.002409639,0.008433735,0.014457831,0.031325301,0.012048193,0.003614458,0.018072289,0.003614458,0.004819277,0.021686747,0.007228916,0.001204819,0.002409639,0.019277108,0.003614458,0.001204819,0.009638554,0.003614458,0.012048193,0.002409639,0,0.01686747,0.001204819,0.004819277,0.003614458,0.003614458,0.015662651,0.022891566,0.015662651,0.015662651,0.006024096,0.03373494,0.001204819,0.006024096,0,0.002409639,0.004819277,0.027710843
CRIMINAL DAMAGE: CRIMINAL DEFACEMENT,P2,0.137853107,0.133333333,0.142372881,0.13220339,0.146892655,0.167231638,0.140112994,0.076836158,0.038418079,0.047457627,0.035028249,0.02259887,0.020338983,0.021468927,0.024858757,0.027118644,0.031638418,0.027118644,0.020338983,0.032768362,0.032768362,0.025988701,0.028248588,0.046327684,0.058757062,0.061016949,0.065536723,0.072316384,0.059887006,0.084745763,0.038418079,0.035028249,0.02259887,0.005649718,0.02259887,0.013559322,0.027118644,0.013559322,0.015819209,0,0.004519774,0.009039548,0.003389831,0.004519774,0.033898305,0.036158192,0.025988701,0.013559322,0.011299435,0.028248588,0.005649718,0.018079096,0.042937853,0.013559322,0.046327684,0.011299435,0.001129944,0.001129944,0.014689266,0.009039548,0.033898305,0.025988701,0.030508475,0.005649718,0.001129944,0.002259887,0,0,0.005649718,0.002259887,0,0.003389831,0.001129944,0.004519774,0.010169492,0.002259887,0.009039548,0.002259887,0.003389831,0.033898305,0,0.009039548,0.015819209,0.002259887,0.001129944,0.004519774,0.038418079,0.014689266,0.030508475,0.013559322,0.014689266,0.015819209,0.015819209,0.011299435,0.015819209,0.033898305,0.021468927,0.006779661,0,0.006779661,0.029378531,0.005649718,0.001129944,0.003389831,0.001129944,0.003389831,0.005649718,0.010169492
CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY,P2,0.145873321,0.140115163,0.151631478,0.145873321,0.120921305,0.163147793,0.13243762,0.057581574,0.028790787,0.03646833,0.024952015,0.011516315,0.017274472,0.021113244,0.028790787,0.038387716,0.03646833,0.032629559,0.032629559,0.047984645,0.011516315,0.044145873,0.063339731,0.061420345,0.061420345,0.067178503,0.046065259,0.063339731,0.069097889,0.069097889,0.028790787,0.017274472,0.009596929,0.013435701,0.019193858,0.005758157,0.013435701,0.007677543,0.009596929,0.001919386,0.003838772,0.005758157,0.003838772,0.003838772,0.009596929,0.015355086,0.005758157,0.009596929,0.005758157,0.017274472,0.005758157,0.005758157,0.017274472,0.019193858,0.017274472,0.055662188,0.034548944,0.026871401,0.032629559,0.047984645,0.013435701,0.017274472,0.034548944,0.011516315,0.005758157,0.003838772,0.001919386,0.013435701,0.017274472,0,0.011516315,0.003838772,0.009596929,0.013435701,0.019193858,0.005758157,0.005758157,0.001919386,0.001919386,0.042226488,0,0.001919386,0.007677543,0.011516315,0.007677543,0.007677543,0.021113244,0.003838772,0.009596929,0.007677543,0.005758157,0.013435701,0.005758157,0.017274472,0,0.015355086,0.017274472,0.038387716,0.019193858,0.034548944,0.009596929,0.026871401,0.005758157,0.003838772,0.007677543,0.011516315,0.003838772,0.009596929
CRIMINAL DAMAGE: TO PROPERTY,P2,0.146490781,0.14350266,0.13016544,0.132643393,0.134684061,0.154872094,0.157641571,0.055316668,0.041104876,0.037533707,0.030391371,0.029371037,0.022520224,0.023977844,0.024050725,0.03622185,0.038772684,0.039064208,0.03848116,0.046862474,0.039282851,0.040740471,0.041104876,0.045623497,0.050506523,0.053859048,0.049413308,0.053859048,0.054806501,0.057575978,0.04955907,0.010640624,0.012535529,0.009328766,0.007652503,0.004227097,0.017491436,0.009401647,0.014867721,0.001384739,0.006559289,0.00444574,0.002113549,0.003133882,0.009110123,0.013482982,0.013191458,0.007579622,0.002332192,0.018220246,0.005757598,0.009474528,0.015013483,0.026528679,0.020406676,0.062531885,0.01698127,0.015159245,0.018366008,0.035347278,0.012535529,0.008308432,0.009911814,0.003206763,0.002040668,0.005757598,0.002332192,0.002623715,0.014867721,0.00517455,0.011369434,0.006194884,0.017127032,0.040521828,0.029443918,0.006923694,0.023759201,0.002842358,0.006923694,0.034326944,0.005684717,0.008964361,0.006923694,0.027476131,0.00590336,0.002769477,0.008672837,0.003352525,0.011952482,0.005247431,0.006559289,0.017710079,0.00517455,0.0103491,0.003862692,0.011296553,0.031265943,0.032286277,0.024779535,0.033671015,0.012316887,0.041177757,0.005830479,0.017054151,0.001822025,0.008964361,0.002915239,0.006559289
CRIMINAL DAMAGE: TO STATE SUP PROP,P2,0.118644068,0.144067797,0.127118644,0.144067797,0.13559322,0.271186441,0.059322034,0.033898305,0.059322034,0.016949153,0.016949153,0.025423729,0,0.042372881,0.033898305,0.025423729,0.042372881,0.050847458,0.025423729,0.042372881,0.025423729,0.076271186,0.042372881,0.084745763,0.050847458,0.059322034,0.042372881,0.042372881,0.076271186,0.042372881,0.042372881,0.008474576,0.008474576,0.025423729,0.008474576,0.008474576,0,0.016949153,0.008474576,0,0.008474576,0.008474576,0.008474576,0,0,0.008474576,0,0.025423729,0,0.025423729,0,0,0.008474576,0.008474576,0.059322034,0.050847458,0.016949153,0.025423729,0.093220339,0.042372881,0.016949153,0,0.016949153,0.016949153,0.016949153,0.016949153,0,0.008474576,0.033898305,0.008474576,0,0,0.008474576,0.008474576,0.025423729,0,0.016949153,0,0,0.008474576,0.016949153,0.016949153,0,0,0.042372881,0,0,0,0.016949153,0,0.016949153,0,0,0.008474576,0,0.025423729,0.008474576,0.059322034,0.025423729,0.016949153,0,0.033898305,0,0.008474576,0,0.016949153,0.008474576,0
CRIMINAL DAMAGE: TO VEHICLE,P2,0.155795401,0.135147818,0.12582959,0.128309982,0.135483006,0.146544211,0.172889991,0.05604344,0.036870684,0.031909901,0.029563585,0.022390561,0.01877053,0.022256486,0.028759134,0.031708789,0.032714353,0.030636187,0.027284306,0.035261782,0.029831736,0.033183616,0.039887377,0.045652611,0.052490447,0.064222029,0.063685728,0.069585037,0.068981699,0.071998391,0.056311591,0.013474559,0.016491252,0.010591942,0.007038949,0.005564121,0.020379433,0.018033117,0.027887645,0.00167594,0.006234498,0.003955219,0.002480391,0.004089294,0.01233492,0.013072334,0.013072334,0.007374137,0.00335188,0.019373869,0.007977475,0.010457867,0.025206141,0.028155795,0.044445934,0.059328283,0.015887913,0.017161628,0.04679225,0.031842864,0.023329088,0.016089026,0.012468995,0.006636723,0.003485956,0.011329356,0.003552993,0.003016692,0.013273446,0.00589931,0.011664544,0.007709325,0.010457867,0.025072065,0.017161628,0.003687068,0.014077898,0.001877053,0.004424482,0.022189448,0.00475967,0.007240062,0.006770798,0.012670108,0.00449152,0.002614467,0.010457867,0.003485956,0.011396393,0.005363009,0.010457867,0.018837568,0.005430046,0.012737146,0.003821144,0.010390829,0.020848696,0.019977207,0.019038681,0.021116847,0.011932694,0.025474291,0.003284843,0.013675672,0.00335188,0.0078434,0.004424482,0.006971911
CRIMINAL TRESPASS: TO LAND,P2,0.119407321,0.142940151,0.14787914,0.14787914,0.156013945,0.151365485,0.134514817,0.030214991,0.023242301,0.022370715,0.013945381,0.009006392,0.007844277,0.013073794,0.024985474,0.023242301,0.039511912,0.047937246,0.066240558,0.063625799,0.056653109,0.057234166,0.05636258,0.058977339,0.06333527,0.062463684,0.06333527,0.060429983,0.056653109,0.044160372,0.03515398,0.026147589,0.008425334,0.020918071,0.008134805,0.004067403,0.033991865,0.015688553,0.053166764,0.000581058,0.004067403,0.004067403,0.001162115,0.002905288,0.004357931,0.007553748,0.005810575,0.009587449,0.000871586,0.012202208,0.003195816,0.006391633,0.015979082,0.020627542,0.025566531,0.051133062,0.015979082,0.018593841,0.058977339,0.031667635,0.009877978,0.008715863,0.067693202,0.0212086,0.004938989,0.015979082,0.001452644,0.005229518,0.005810575,0.003195816,0.008715863,0.00464846,0.00929692,0.026438117,0.020918071,0.003486345,0.020337013,0.000290529,0.001743173,0.029924463,0.002614759,0.006682162,0.003776874,0.007263219,0.005229518,0.002033701,0.008134805,0.002033701,0.004938989,0.003486345,0.004938989,0.012492737,0.004938989,0.004067403,0.003195816,0.003776874,0.015979082,0.023823359,0.03050552,0.03515398,0.007553748,0.026438117,0.001743173,0.017141197,0.001743173,0.006391633,0.002033701,0.010168507
CRIMINAL TRESPASS: TO RESIDENCE,P2,0.128930818,0.161949686,0.146226415,0.130503145,0.126572327,0.150943396,0.154874214,0.039308176,0.029874214,0.02908805,0.02672956,0.025943396,0.024371069,0.032232704,0.032232704,0.04009434,0.051886792,0.050314465,0.052672956,0.048742138,0.062106918,0.049528302,0.047169811,0.04245283,0.040880503,0.048742138,0.045597484,0.048742138,0.04245283,0.044811321,0.044025157,0.016509434,0.018867925,0.014937107,0.006289308,0.002358491,0.028301887,0.017295597,0.022798742,0.001572327,0.005503145,0.004716981,0.002358491,0.001572327,0.011006289,0.019654088,0.014150943,0.008647799,0.005503145,0.025943396,0.007861635,0.012578616,0.017295597,0.02672956,0.025157233,0.072327044,0.020440252,0.017295597,0.011792453,0.032232704,0.019654088,0.004716981,0.000786164,0.003144654,0.003930818,0.006289308,0.002358491,0.002358491,0.011006289,0.007075472,0.012578616,0.008647799,0.018867925,0.036163522,0.023584906,0.007075472,0.016509434,0.000786164,0.003144654,0.037735849,0.000786164,0.005503145,0.005503145,0.02672956,0.002358491,0.003144654,0.004716981,0.003930818,0.010220126,0.000786164,0.008647799,0.018081761,0.003930818,0.004716981,0.007861635,0.003144654,0.036163522,0.033018868,0.022798742,0.022798742,0.003930818,0.034591195,0.003144654,0.012578616,0.003144654,0.007861635,0.001572327,0.010220126
CRIMINAL TRESPASS: TO STATE SUP LAND,P2,0.109185442,0.150779896,0.152512998,0.147313692,0.17677643,0.143847487,0.119584055,0.024263432,0.022530329,0.012131716,0.010398614,0.010398614,0.012131716,0.013864818,0.090121317,0.050259965,0.045060659,0.039861352,0.039861352,0.046793761,0.045060659,0.043327556,0.060658579,0.071057192,0.097053726,0.079722704,0.050259965,0.034662045,0.032928943,0.03812825,0.029462738,0.005199307,0,0.025996534,0.010398614,0.003466205,0.010398614,0.006932409,0.022530329,0,0.010398614,0.013864818,0,0.001733102,0.003466205,0.006932409,0.003466205,0.003466205,0,0.020797227,0,0.001733102,0.005199307,0.003466205,0.024263432,0.01559792,0.013864818,0.017331023,0.034662045,0.01559792,0.005199307,0.006932409,0.013864818,0.013864818,0.01559792,0.039861352,0,0.020797227,0.006932409,0.008665511,0,0,0.03812825,0.012131716,0.05372617,0.001733102,0.006932409,0.001733102,0.001733102,0.039861352,0.010398614,0.036395147,0,0,0.020797227,0,0.001733102,0.005199307,0.003466205,0,0.006932409,0.008665511,0.003466205,0,0,0.003466205,0.001733102,0.020797227,0.020797227,0.029462738,0.006932409,0.020797227,0.001733102,0.010398614,0,0,0.211438475,0.006932409
CRIMINAL TRESPASS: TO VEHICLE,P2,0.156970362,0.13830955,0.122941822,0.152579583,0.139407245,0.153677278,0.13611416,0.043907794,0.03622393,0.026344676,0.024149286,0.017563117,0.018660812,0.019758507,0.030735456,0.032930845,0.028540066,0.035126235,0.029637761,0.032930845,0.03183315,0.03183315,0.039517014,0.040614709,0.058177827,0.064763996,0.063666301,0.090010977,0.06586169,0.085620198,0.051591658,0.018660812,0.028540066,0.016465423,0.016465423,0.019758507,0.025246981,0.035126235,0.024149286,0.003293085,0.014270033,0.005488474,0.017563117,0.004390779,0.005488474,0.014270033,0.014270033,0.007683864,0,0.008781559,0,0.009879254,0.045005488,0.025246981,0.051591658,0.038419319,0.008781559,0.013172338,0.019758507,0.015367728,0.006586169,0.00219539,0.010976948,0.010976948,0.003293085,0.015367728,0.006586169,0.00219539,0.021953897,0.008781559,0.013172338,0.014270033,0.015367728,0.025246981,0.013172338,0.005488474,0.010976948,0.00219539,0.007683864,0.027442371,0.008781559,0.007683864,0.007683864,0.014270033,0.005488474,0.001097695,0.008781559,0,0.00219539,0.001097695,0.013172338,0.008781559,0.007683864,0.00219539,0.006586169,0.013172338,0.010976948,0.017563117,0.013172338,0.014270033,0.010976948,0.030735456,0.016465423,0.013172338,0.006586169,0.014270033,0.005488474,0.006586169
DECEPTIVE PRACTICE: ATTEMPT - FINANCIAL IDENTITY THEFT,P2,0.064102564,0.166666667,0.163003663,0.175824176,0.179487179,0.142857143,0.108058608,0.076923077,0.003663004,0.009157509,0.003663004,0.001831502,0.005494505,0.007326007,0.021978022,0.067765568,0.168498168,0.095238095,0.051282051,0.15018315,0.071428571,0.051282051,0.058608059,0.065934066,0.021978022,0.012820513,0.021978022,0.010989011,0.005494505,0.010989011,0.005494505,0.014652015,0.023809524,0.009157509,0.02014652,0.034798535,0.065934066,0.034798535,0.093406593,0.001831502,0.016483516,0.007326007,0.003663004,0.009157509,0.007326007,0.029304029,0.021978022,0.009157509,0.001831502,0.010989011,0.001831502,0.014652015,0.029304029,0.009157509,0.038461538,0.027472527,0.009157509,0.001831502,0.023809524,0.010989011,0.005494505,0.009157509,0.058608059,0.016483516,0.003663004,0.012820513,0.001831502,0,0.005494505,0.001831502,0.007326007,0.012820513,0.009157509,0.010989011,0.014652015,0.009157509,0.014652015,0.003663004,0.003663004,0.010989011,0.005494505,0.005494505,0.001831502,0.016483516,0,0.001831502,0.005494505,0.005494505,0.001831502,0.001831502,0.009157509,0.001831502,0.005494505,0,0.005494505,0.003663004,0.012820513,0.009157509,0.016483516,0.009157509,0.010989011,0.018315018,0.007326007,0.010989011,0.005494505,0.007326007,0.001831502,0.023809524
DECEPTIVE PRACTICE: BOGUS CHECK,P2,0.039087948,0.188925081,0.159609121,0.185667752,0.179153094,0.166123779,0.081433225,0.055374593,0.006514658,0.003257329,0,0,0.003257329,0.006514658,0.009771987,0.058631922,0.19218241,0.09771987,0.061889251,0.110749186,0.061889251,0.045602606,0.055374593,0.068403909,0.035830619,0.048859935,0.019543974,0.029315961,0.016286645,0.003257329,0.009771987,0.022801303,0.029315961,0.009771987,0.003257329,0.006514658,0.009771987,0.006514658,0.055374593,0.006514658,0.013029316,0.006514658,0,0.009771987,0.009771987,0.019543974,0.013029316,0,0,0.016286645,0.009771987,0.009771987,0.003257329,0.016286645,0.019543974,0.052117264,0.013029316,0.003257329,0.048859935,0.022801303,0.003257329,0.016286645,0.058631922,0.013029316,0,0.006514658,0,0.003257329,0.016286645,0.009771987,0.003257329,0.016286645,0.022801303,0.013029316,0.048859935,0,0.019543974,0,0.003257329,0.026058632,0,0.006514658,0.009771987,0.003257329,0,0,0.009771987,0.003257329,0.019543974,0.006514658,0.009771987,0.026058632,0.006514658,0.009771987,0.006514658,0.016286645,0.009771987,0.003257329,0.022801303,0.013029316,0.013029316,0.016286645,0.019543974,0.006514658,0.006514658,0.019543974,0,0.019543974
DECEPTIVE PRACTICE: COUNTERFEIT CHECK,P2,0.03125,0.171875,0.197916667,0.203125,0.1640625,0.161458333,0.0703125,0.059895833,0.005208333,0,0.005208333,0.002604167,0,0.005208333,0.013020833,0.059895833,0.182291667,0.109375,0.0390625,0.111979167,0.049479167,0.052083333,0.0703125,0.057291667,0.0546875,0.036458333,0.046875,0.018229167,0.018229167,0.002604167,0,0.0078125,0.013020833,0.020833333,0.010416667,0.010416667,0.013020833,0.010416667,0.065104167,0.002604167,0.002604167,0.005208333,0,0.002604167,0.0078125,0.013020833,0.0078125,0,0,0.013020833,0.010416667,0.015625,0.059895833,0.0234375,0.026041667,0.026041667,0.010416667,0.015625,0.049479167,0.005208333,0.002604167,0.0078125,0.065104167,0.0078125,0.010416667,0.0078125,0.002604167,0.002604167,0.010416667,0,0.0078125,0.0078125,0.0078125,0.052083333,0.041666667,0.0078125,0.005208333,0,0.015625,0.03125,0.002604167,0.005208333,0.002604167,0.002604167,0.002604167,0,0.010416667,0.002604167,0.015625,0.0078125,0.010416667,0.0234375,0.0078125,0.0078125,0.010416667,0.0078125,0.0078125,0.0234375,0.010416667,0.002604167,0.010416667,0.033854167,0.005208333,0.0078125,0.002604167,0.018229167,0,0.015625
DECEPTIVE PRACTICE: COUNTERFEITING DOCUMENT,P2,0.136690647,0.125899281,0.131894484,0.141486811,0.134292566,0.169064748,0.160671463,0.01558753,0.010791367,0.010791367,0.004796163,0.005995204,0.003597122,0.002398082,0.010791367,0.008393285,0.028776978,0.043165468,0.057553957,0.082733813,0.068345324,0.067146283,0.073141487,0.081534772,0.083932854,0.09352518,0.085131894,0.058752998,0.047961631,0.03117506,0.023980815,0.008393285,0.010791367,0.008393285,0.009592326,0.003597122,0.050359712,0.016786571,0.103117506,0.002398082,0.009592326,0.003597122,0.002398082,0,0.004796163,0.007194245,0.008393285,0.001199041,0,0.009592326,0.003597122,0.010791367,0.010791367,0.013189448,0.027577938,0.028776978,0.005995204,0.009592326,0.07793765,0.01558753,0.008393285,0.008393285,0.092326139,0.06235012,0.061151079,0.016786571,0.001199041,0.003597122,0.008393285,0,0.008393285,0.010791367,0.007194245,0.007194245,0.010791367,0.001199041,0.013189448,0,0.002398082,0.013189448,0.007194245,0.011990408,0.005995204,0.007194245,0.002398082,0.001199041,0.003597122,0,0.004796163,0.003597122,0.005995204,0.014388489,0.005995204,0.002398082,0.002398082,0.002398082,0.005995204,0.013189448,0.014388489,0.023980815,0.002398082,0.019184652,0.004796163,0.008393285,0,0.014388489,0.003597122,0.007194245
